election_date,county_desc,party_cd,race_code,ethnic_code,sex_code,age_group,registered_count,voted_count,turnout_rate
2025-11-04,BRUNSWICK,REP,W,HL,U,Age Over 66,2,1,0.5
2025-11-04,LENOIR,REP,B,NL,M,Age Over 66,13,6,0.46153846153846156
2025-11-04,DARE,UNA,W,NL,M,Age 41 - 65,1003,111,0.1106679960119641
2025-11-04,ORANGE,GRE,W,UN,F,Age 26 - 40,4,1,0.25
2025-11-04,SCOTLAND,REP,B,NL,F,Age 41 - 65,31,2,0.06451612903225806
2025-11-04,BRUNSWICK,REP,A,NL,F,Age Over 66,12,2,0.16666666666666666
2025-11-04,DAVIE,DEM,B,UN,M,Age 26 - 40,21,1,0.047619047619047616
2025-11-04,FRANKLIN,DEM,B,HL,F,Age Over 66,2,1,0.5
2025-11-04,SWAIN,UNA,W,UN,M,Age 41 - 65,146,2,0.0136986301369863
2025-11-04,MITCHELL,UNA,W,UN,F,Age 41 - 65,219,6,0.0273972602739726
2025-11-04,LEE,DEM,B,NL,F,Age 26 - 40,415,22,0.05301204819277108
2025-11-04,LEE,LIB,W,NL,M,Age 41 - 65,30,1,0.03333333333333333
2025-11-04,NEW HANOVER,GRE,W,NL,F,Age 18 - 25,10,1,0.1
2025-11-04,ALLEGHANY,REP,U,UN,M,Age 41 - 65,13,1,0.07692307692307693
2025-11-04,ANSON,UNA,B,NL,M,Age 26 - 40,89,5,0.056179775280898875
2025-11-04,GUILFORD,GRE,B,NL,F,Age 41 - 65,8,1,0.125
